Información consultada el 06/11/2022 a las 17:55h
Estación: Madrid-Puerta De Atocha
Tren,Estación origen,Hora programada,Retraso,Hora prevista
09331 - Intercity *,ALGECIRAS,20:40,5,20:45
02183 - AVE *,MÁLAGA MARÍA ZAMBRANO,20:45,--,20:45
05191 - AVE *,VALENCIA JOAQUÍN SOROLLA,20:50,--,20:50
03180 - AVE,BARCELONA-SANTS,20:55,--,20:55
08203 - AVANT *,TOLEDO,20:58,--,20:58
03182 - AVE *,BARCELONA-SANTS,21:12,--,21:12
02181 - AVE *,SEVILLA-SANTA JUSTA,21:17,--,21:17
02193 - AVE *,MÁLAGA MARÍA ZAMBRANO,21:44,--,21:44
00612 - ALVIA,PAMPLONA/IRUÑA,21:48,--,21:48
03190 - AVE,BARCELONA-SANTS,21:55,--,21:55
03190 - AVE,BARCELONA-SANTS,21:55,--,21:55
Tren,Estación destino,Hora programada,Retraso,Hora prevista
03161 - AVE *,BARCELONA-SANTS,16:00,--,16:00
02160 - AVE *,SEVILLA-SANTA JUSTA,16:00,2,16:02
05552 - AVE *,ORIHUELA-MIGUEL HERNÁNDEZ,16:05,2,16:07
02164 - ALVIA *,CÁDIZ,16:10,1,16:11
03163 - AVE *,BARCELONA-SANTS,16:30,--,16:30
03163 - AVE *,BARCELONA-SANTS,16:30,--,16:30
02360 - AVE *,SEVILLA-SANTA JUSTA,16:30,--,16:30
02162 - AVE *,MÁLAGA MARÍA ZAMBRANO,16:35,1,16:36
03171 - AVE *,BARCELONA-SANTS,17:00,--,17:00
02170 - AVE *,SEVILLA-SANTA JUSTA,17:00,4,17:04
05370 - AVE *,VALENCIA JOAQUÍN SOROLLA,17:10,--,17:10
08170 - AVANT *,PUERTOLLANO,17:20,10,17:30
03173 - AVE *,BARCELONA-SANTS,17:30,--,17:30
02172 - AVE *,MÁLAGA MARÍA ZAMBRANO,17:35,--,17:35
00613 - ALVIA *,PAMPLONA/IRUÑA,17:35,--,17:35
05170 - AVE *,VALENCIA JOAQUÍN SOROLLA,17:40,--,17:40
08172 - AVANT *,TOLEDO,17:50,--,17:50
02180 - AVE *,SEVILLA-SANTA JUSTA,18:00,--,18:00
06307 - AVLO,BARCELONA-SANTS,18:00,--,18:00
02384 - ALVIA *,HUELVA,18:05,--,18:05
00701 - ALVIA *,LOGROÑO,18:08,--,18:08
08173 - AVANT *,ALBACETE-LOS LLANOS,18:10,--,18:10
02182 - AVE *,MÁLAGA MARÍA ZAMBRANO,18:30,--,18:30
03183 - AVE *,BARCELONA-SANTS,18:30,--,18:30
02380 - AVE *,SEVILLA-SANTA JUSTA,18:35,--,18:35
06510 - AVLO,VALENCIA JOAQUÍN SOROLLA,18:40,--,18:40
02190 - AVE *,SEVILLA-SANTA JUSTA,19:00,--,19:00
03191 - AVE *,FIGUERES VILAFANT,19:00,--,19:00
03393 - AVE *,HUESCA,19:05,--,19:05
08190 - AVANT,PUERTOLLANO,19:15,--,19:15
06309 - AVLO,FIGUERES VILAFANT,19:30,--,19:30
00801 - ALVIA *,PAMPLONA/IRUÑA,19:35,--,19:35
02192 - AVE *,MÁLAGA MARÍA ZAMBRANO,19:35,--,19:35
02196 - AVE *,MÁLAGA MARÍA ZAMBRANO,19:35,--,19:35
05198 - AVE *,CASTELLÓ,19:40,--,19:40
08192 - AVANT *,TOLEDO,19:45,--,19:45
03201 - AVE *,BARCELONA-SANTS,20:00,--,20:00
03201 - AVE *,BARCELONA-SANTS,20:00,--,20:00
08200 - AVANT *,PUERTOLLANO,20:15,--,20:15
02202 - AVE *,MÁLAGA MARÍA ZAMBRANO,20:30,--,20:30
03203 - AVE *,BARCELONA-SANTS,20:40,--,20:40
08212 - AVANT *,TOLEDO,20:50,--,20:50
02210 - AVE *,SEVILLA-SANTA JUSTA,21:00,--,21:00
05410 - AVE *,VALENCIA JOAQUÍN SOROLLA,21:10,--,21:10
